Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,08/28/1979,,,,,,,,
8189700,06/26/1997,12.5,NO,3.8,,,41,,
8189700,07/01/1997,13.5,NO,4.1,,,40,,
8189700,07/10/1997,15.25,NO,4.6,,,38,,
8189700,07/16/1997,15,NO,4.6,,,38,,
8189700,07/23/1997,15.5,NO,4.7,,,38,,
8189700,07/30/1997,16.25,NO,4.9,,,37,,
8189700,08/07/1997,17,NO,5.2,,,36,,
8189700,08/13/1997,17.25,NO,5.2,,,36,,
8189700,08/22/1997,14,NO,4.3,,,39,,
8189700,08/29/1997,17.5,NO,5.3,,,36,,
8189700,09/04/1997,18,NO,5.5,,,35,,
8189700,09/12/1997,17.5,NO,5.3,,,36,,
8189700,09/21/1997,14.5,NO,4.4,,,39,,
8189700,04/28/1998,9.5,NO,2.9,,,45,,
8189700,05/08/1998,15.5,NO,4.7,,,38,,
8189700,05/18/1998,15.5,NO,4.7,,,38,,
8189700,05/25/1998,17,NO,5.2,,,36,,
8189700,06/05/1998,15.5,NO,4.7,,,38,,
8189700,06/16/1998,14,NO,4.3,,,39,,
8189700,06/23/1998,18.5,NO,5.6,,,35,,
8189700,07/01/1998,17,NO,5.2,,,36,,
8189700,07/11/1998,17.5,NO,5.3,,,36,,
8189700,07/24/1998,15.5,NO,4.7,,,38,,
8189700,08/01/1998,15,NO,4.6,,,38,,
8189700,08/12/1998,15.75,NO,4.8,,,37,,
8189700,08/20/1998,12,NO,3.6,,,41,,
8189700,08/29/1998,11.5,NO,3.5,,,42,,
8189700,09/09/1998,13,NO,4,,,40,,
8189700,09/16/1998,14.25,NO,4.3,,,39,,
8189700,09/28/1998,10.5,NO,3.2,,,43,,
8189700,10/10/1998,8,NO,2.4,,,47,,
8188475,08/08/2001,,,,1.2,16,,50,36
8188599,08/08/2001,14,NO,4.3,,,39,,
65255337,07/28/2012,14.25,NO,4.3,,,39,,
65255337,08/09/2012,15.25,NO,4.6,,,38,,
65255337,08/25/2012,15.25,NO,4.6,,,38,,
65255337,09/07/2012,14.5,NO,4.4,,,39,,
65255337,09/27/2012,9,NO,2.7,,,45,,
65255337,05/29/2013,19.5,NO,5.9,,,34,,
65255337,06/07/2013,20.5,NO,6.2,,,34,,
65255337,06/14/2013,21,NO,6.4,,,33,,
65255337,06/30/2013,21.5,NO,6.5,,,33,,
65255337,07/17/2013,20,NO,6.1,,,34,,
65255337,07/25/2013,16.5,NO,5,,,37,,
65255337,08/02/2013,17.5,NO,5.3,,,36,,
65255337,08/10/2013,13,NO,4,,,40,,
65255337,08/18/2013,16,NO,4.9,,,37,,
65255337,09/03/2013,15.5,NO,4.7,,,38,,
65255337,09/11/2013,16,NO,4.9,,,37,,
65255337,10/13/2013,13,NO,4,,,40,,
65255337,05/04/2015,21.5,NO,6.5,,,33,,
65255337,05/20/2015,24.5,NO,7.4,,,31,,
65255337,06/05/2015,21,NO,6.4,,,33,,
65255337,07/17/2015,18,NO,5.5,,,35,,
65255337,07/30/2015,17.5,NO,5.3,,,36,,
65255337,08/16/2015,18.5,NO,5.6,,,35,,
65255337,10/11/2015,10,NO,3,,,44,,
65255337,05/05/2016,18,NO,5.5,,,35,,
65255337,05/21/2016,21,NO,6.4,,,33,,
65255337,06/22/2016,15,NO,4.6,,,38,,
65255337,07/09/2016,15,NO,4.6,,,38,,
65255337,07/25/2016,13,NO,4,,,40,,
65255337,08/26/2016,15,NO,4.6,,,38,,
65255337,09/18/2016,16.5,NO,5,,,37,,
145991337,06/22/2017,11.5,NO,3.5,3.21,13.8,42,48,44
145991337,06/26/2017,13,NO,4,,,40,,
65255337,06/30/2017,13,NO,4,,,40,,
145991337,07/19/2017,13.5,NO,4.1,1.63,13.2,40,48,38
65255337,08/02/2017,19,NO,5.8,,,35,,
145991337,08/13/2017,16,NO,4.9,,,37,,
145991337,08/21/2017,,,,2.24,11,,47,41
145991337,09/12/2017,16,NO,4.9,,,37,,
