Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8190562,07/17/1986,13.25,NO,4,,,40,,
8190562,08/04/1986,18.5,NO,5.6,,,35,,
8190562,08/23/1986,14,NO,4.3,,,39,,
8190562,05/31/1987,22,NO,6.7,,,33,,
8190562,06/16/1987,21,NO,6.4,,,33,,
8190562,06/30/1987,21,NO,6.4,,,33,,
8190562,07/17/1987,13.25,NO,4,,,40,,
8190562,07/20/1987,18,NO,5.5,,,35,,
8190562,08/04/1987,18.5,NO,5.6,,,35,,
8190562,08/05/1987,21,NO,6.4,,,33,,
8190562,08/22/1987,16,NO,4.9,,,37,,
8190562,08/23/1987,14,NO,4.3,,,39,,
8190562,05/28/1988,34,NO,10.3,,,26,,
8190562,06/23/1988,31,NO,9.4,,,28,,
8190562,07/05/1988,19,NO,5.8,,,35,,
8190562,07/22/1988,19,NO,5.8,,,35,,
8190562,08/10/1988,19,NO,5.8,,,35,,
8190562,08/30/1988,15,NO,4.6,,,38,,
8190562,05/15/1989,16,NO,4.9,,,37,,
8190562,06/01/1989,18,NO,5.5,,,35,,
8190562,06/14/1989,14,NO,4.3,,,39,,
8190562,07/06/1989,22,NO,6.7,,,33,,
8190562,07/17/1989,24,NO,7.3,,,31,,
8190562,08/09/1989,23,NO,7,,,32,,
8190562,09/03/1989,18,NO,5.5,,,35,,
8190562,05/21/1990,23,NO,7,,,32,,
8190562,06/13/1990,17,NO,5.2,,,36,,
8190562,06/29/1990,15,NO,4.6,,,38,,
8190562,07/10/1990,17,NO,5.2,,,36,,
8190562,08/01/1990,20,NO,6.1,,,34,,
8190562,08/14/1990,18,NO,5.5,,,35,,
8190562,09/28/1990,17,NO,5.2,,,36,,
8190562,05/09/1991,15,NO,4.6,,,38,,
8190562,05/13/1991,19,NO,5.8,,,35,,
8190562,06/07/1991,32,NO,9.7,,,27,,
8190562,07/06/1991,20,NO,6.1,,,34,,
8190562,07/23/1991,18,NO,5.5,,,35,,
8190562,08/05/1991,20,NO,6.1,,,34,,
8190562,08/20/1991,19,NO,5.8,,,35,,
8190562,09/13/1991,18,NO,5.5,,,35,,
8190562,10/23/1991,22,NO,6.7,,,33,,
8190562,05/08/1992,13,NO,4,,,40,,
8190562,05/21/1992,20,NO,6.1,,,34,,
8190562,06/10/1992,25,NO,7.6,,,31,,
8190562,06/27/1992,14,NO,4.3,,,39,,
8190562,07/13/1992,18,NO,5.5,,,35,,
8190562,07/25/1992,20,NO,6.1,,,34,,
8190562,08/13/1992,16,NO,4.9,,,37,,
8190562,10/22/1992,17,NO,5.2,,,36,,
8190562,05/05/1993,15,NO,4.6,,,38,,
8190562,05/22/1993,14,NO,4.3,,,39,,
8190562,06/10/1993,22,NO,6.7,,,33,,
8190562,06/25/1993,19,NO,5.8,,,35,,
1,07/27/1993,,,,3.38,,,,44
8190562,07/27/1993,19,NO,5.8,,9,35,45,
1,08/23/1993,,,,2.62,,,,42
8190562,08/23/1993,19,NO,5.8,,14,35,49,
1,10/05/1993,,,,4.27,,,,46
8190562,10/05/1993,12,NO,3.6,,5,41,41,
8190562,05/09/1994,12,NO,3.6,,,41,,
8190562,05/16/1994,13,NO,4,,,40,,
8190562,05/27/1994,28,NO,8.5,,,29,,
8190562,05/30/1994,27,NO,8.2,1.54,5,30,41,38
8190562,06/30/1994,24,NO,7.3,,,31,,
8190562,07/10/1994,22,NO,6.7,3.01,8,33,44,43
8190562,07/25/1994,20,NO,6.1,,,34,,
8190562,08/01/1994,18,NO,5.5,,,35,,
8190562,08/07/1994,19,NO,5.8,2.92,8,35,44,43
8190562,08/25/1994,20,NO,6.1,,,34,,
8190562,09/18/1994,21,NO,6.4,,,33,,
8190562,09/27/1994,18,NO,5.5,3.81,7,35,43,45
8190562,10/01/1994,11,NO,3.3,,,43,,
8190562,10/13/1994,17,NO,5.2,,,36,,
8190562,05/02/1995,15,NO,4.6,,,38,,
8190562,05/15/1995,12,NO,3.6,6.08,8,41,44,48
8190562,05/19/1995,15,NO,4.6,,,38,,
8190562,05/30/1995,20,NO,6.1,,,34,,
8190562,06/13/1995,19,NO,5.8,1.8,8,35,44,39
8190562,07/09/1995,18,NO,5.5,,,35,,
8190562,07/11/1995,18,NO,5.5,0.01,,35,,0
8190562,07/31/1995,20,NO,6.1,,,34,,
8190562,08/07/1995,19,NO,5.8,0.01,7,35,43,0
8190562,08/19/1995,19,NO,5.8,,,35,,
8190562,09/03/1995,18,NO,5.5,,,35,,
8190562,09/05/1995,18,NO,5.5,1.83,,35,,39
8190562,09/27/1995,15,NO,4.6,,,38,,
8190562,10/18/1995,15,NO,4.6,,,38,,
8190562,05/20/1996,14,NO,4.3,,,39,,
8190562,06/03/1996,13,NO,4,5.99,8,40,44,48
8190562,06/15/1996,20,NO,6.1,,,34,,
8190562,06/25/1996,22,NO,6.7,2.5,,33,,42
8190562,07/10/1996,21,NO,6.4,,,33,,
8190562,07/15/1996,21,NO,6.4,2.65,,33,,42
8190562,07/31/1996,19,NO,5.8,3.74,,35,,45
8190562,08/04/1996,21,NO,6.4,,,33,,
8190562,08/14/1996,18,NO,5.5,,,35,,
8190562,08/27/1996,16,NO,4.9,,,37,,
8190562,09/23/1996,15,NO,4.6,4.08,11,38,47,45
8190562,10/15/1996,12,NO,3.6,,,41,,
8190562,05/10/1997,12,NO,3.6,,,41,,
8190562,05/22/1997,15,NO,4.6,,,38,,
8190562,05/27/1997,20,NO,6.1,,21,34,52,
8190562,06/24/1997,18,NO,5.5,2.46,9,35,45,42
8190562,07/14/1997,17,NO,5.2,1.86,28,36,54,39
8190562,07/24/1997,21,NO,6.4,,,33,,
8190562,08/10/1997,21,NO,6.4,,,33,,
8190562,08/13/1997,19,NO,5.8,2.08,7,35,43,40
8190562,09/10/1997,18,NO,5.5,,,35,,
8190562,09/23/1997,16,NO,4.9,3.44,12,37,47,44
8190562,04/21/1998,15,NO,4.6,,,38,,
8190562,04/27/1998,,,,,13,,48,
8190562,05/06/1998,22,NO,6.7,,,33,,
8190562,05/18/1998,21,NO,6.4,,,33,,
8190562,06/01/1998,18,NO,5.5,2.14,,35,,41
8190562,06/17/1998,18,NO,5.5,,,35,,
8190562,06/30/1998,16,NO,4.9,2.03,5,37,41,40
8190562,07/13/1998,19,NO,5.8,,,35,,
8190562,07/29/1998,17,NO,5.2,,,36,,
8190562,08/17/1998,16,NO,4.9,1.74,7,37,43,39
8190562,08/27/1998,16.5,NO,5,,,37,,
8190562,09/11/1998,14,NO,4.3,1.88,9,39,45,40
8190562,05/04/1999,17,NO,5.2,,,36,,
8190562,05/14/1999,19,NO,5.8,,5,35,41,
8190562,06/03/1999,25,NO,7.6,,,31,,
8190562,06/23/1999,22,NO,6.7,1.66,,33,,39
8190562,07/12/1999,16,NO,4.9,1.51,9,37,45,38
8190562,07/19/1999,18,NO,5.5,,,35,,
8190562,08/08/1999,18,NO,5.5,1.21,7,35,43,36
8190562,08/20/1999,18,NO,5.5,,,35,,
8190562,09/25/1999,10,NO,3,,,44,,
8190562,10/09/1999,13,NO,4,1.67,9,40,45,39
8190562,05/01/2000,22,NO,6.7,,,33,,
8190562,05/02/2000,,,,,27,,54,
8190562,05/10/2000,17,NO,5.2,,,36,,
1,06/08/2000,,,,1,8,,44,35
8190562,06/17/2000,30,NO,9.1,,,28,,
8190562,06/28/2000,19,NO,5.8,,,35,,
8190562,07/09/2000,17,NO,5.2,,,36,,
8190562,07/17/2000,17,NO,5.2,1.4,10,36,46,37
8190562,08/04/2000,16,NO,4.9,,,37,,
8190562,08/14/2000,15,NO,4.6,,,38,,
8190562,08/20/2000,15,NO,4.6,,10,38,46,
