Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,08/15/1973,,,,,20,,51,
1,11/14/1973,,,,,40,,57,
1,03/15/1974,,,,,20,,51,
1,05/07/1974,,,,,10,,46,
1,08/14/1974,,,,,20,,51,
1,10/09/1974,,,,,60,,60,
1,01/28/1975,,,,,20,,51,
1,04/22/1977,,,,,20,,51,
1,09/16/1991,9.2,,2.8,5,7,20,43,47
8189896,06/07/1992,18,NO,5.5,,,35,,
8189896,06/09/1992,23,NO,7,,,32,,
8189896,06/30/1992,21,NO,6.4,,,33,,
8189896,07/23/1992,18,NO,5.5,,,35,,
8189896,08/05/1992,17,NO,5.2,,,36,,
8189896,08/21/1992,15,NO,4.6,,,38,,
1,06/26/2000,21,,6.4,1,13,33,48,35
1,07/26/2000,13.1,,4,3,12,40,47,43
8189827,08/16/2000,18.7,,5.7,1.6,12,35,47,38
1,10/31/2000,13.1,,4,3,17,40,50,43
7000068,06/13/2001,,,,2,18,,51,40
8189827,06/24/2001,17.25,NO,5.2,,,36,,
8189827,06/30/2001,19.5,NO,5.9,,,34,,
7000068,07/05/2001,,,,1.8,,,,39
8189827,07/05/2001,20,NO,6.1,,,34,,
8189827,07/14/2001,20,NO,6.1,,,34,,
8188599,07/19/2001,18.5,NO,5.6,,,35,,
7000068,07/20/2001,,,,1.3,13,,48,37
8189827,08/04/2001,20.5,NO,6.2,,,34,,
8189827,08/19/2001,13,NO,4,,,40,,
7000068,08/21/2001,,,,1.5,17,,50,38
8189827,08/26/2001,15.25,NO,4.6,,,38,,
8189827,09/23/2001,13,NO,4,,,40,,
8189827,10/01/2001,12,NO,3.6,,,41,,
7000068,10/31/2001,,,,4,22,,52,45
8189827,05/24/2002,12.5,NO,3.8,,,41,,
8189827,06/10/2002,17,NO,5.2,,,36,,
7000068,06/12/2002,,,,0.33,12,,47,26
8189827,07/05/2002,21,NO,6.4,,,33,,
8189827,07/14/2002,20.5,NO,6.2,,,34,,
7000068,07/24/2002,,,,1.9,9,,45,40
7000068,08/22/2002,,,,3.04,13,,48,43
7000068,10/28/2002,,,,3.72,15,,49,45
8189827,05/08/2003,10.5,NO,3.2,,,43,,
8189827,05/17/2003,13.5,NO,4.1,,,40,,
8189827,05/24/2003,15,NO,4.6,,,38,,
8188599,05/28/2003,19,NO,5.8,,,35,,
8189827,06/01/2003,15,NO,4.6,,,38,,
8189827,06/15/2003,20.5,NO,6.2,,,34,,
8189827,06/29/2003,23,NO,7,,,32,,
8189827,07/01/2003,25,NO,7.6,,,31,,
8189827,07/08/2003,23,NO,7,,,32,,
8189827,07/13/2003,19.5,NO,5.9,,,34,,
8189827,07/28/2003,20,NO,6.1,,,34,,
8189827,08/09/2003,18.5,NO,5.6,,,35,,
7000068,08/14/2003,,,,1.2,,,,36
8188599,08/14/2003,15.5,NO,4.7,,,38,,
8189827,08/18/2003,18.5,NO,5.6,,,35,,
8189827,08/30/2003,15,NO,4.6,,,38,,
8189827,09/06/2003,17.5,NO,5.3,,,36,,
8189827,10/10/2003,13.5,NO,4.1,,,40,,
8189827,05/21/2004,13,NO,4,,,40,,
8189827,06/02/2004,16,NO,4.9,,,37,,
8189827,06/10/2004,17.5,NO,5.3,,,36,,
8189827,06/23/2004,19.25,NO,5.9,,,35,,
8189827,07/05/2004,21,NO,6.4,,,33,,
8189827,07/13/2004,19.5,NO,5.9,,,34,,
8189827,07/26/2004,18,NO,5.5,,,35,,
8189827,08/20/2004,13,NO,4,,,40,,
8189827,08/29/2004,14,NO,4.3,,,39,,
8189827,09/01/2004,14.5,NO,4.4,,,39,,
8189827,09/12/2004,14,NO,4.3,,,39,,
8189827,09/21/2004,14,NO,4.3,,,39,,
8189827,05/06/2005,13,NO,4,,,40,,
8189827,05/22/2005,13,NO,4,,,40,,
