Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,07/31/1973,,,,,120,,65,
1,10/23/1973,,,,,30,,54,
1,01/29/1974,,,,,40,,57,
1,04/18/1974,,,,,30,,54,
1,08/05/1974,,,,,20,,51,
1,11/05/1974,,,,,130,,66,
1,10/29/1985,7,,2.1,,,49,,
1,05/08/1986,8,,2.4,,,47,,
1,06/13/1986,9,,2.7,,,45,,
1,07/11/1986,9,,2.7,,,45,,
1,08/12/1986,7.5,,2.3,,,48,,
1,09/10/1986,7,,2.1,,,49,,
1,05/28/1987,9,,2.7,,,45,,
1,06/30/1987,9,,2.7,,,45,,
1,07/28/1987,8,,2.4,,,47,,
1,08/24/1987,6.5,,2,,,50,,
1,09/22/1987,5.5,,1.7,,,53,,
1,10/27/1987,9,,2.7,,,45,,
1,06/07/1988,8,,2.4,,,47,,
1,07/05/1988,7,,2.1,,,49,,
1,10/04/1988,4,,1.2,,,57,,
1,06/27/1989,9,,2.7,,,45,,
1,07/31/1989,6,,1.8,,,51,,
1,08/28/1989,5,,1.5,,,54,,
1,10/10/1989,8,,2.4,,,47,,
8190746,06/21/1990,5,NO,1.5,,,54,,
8190746,07/06/1990,7.25,NO,2.2,,,49,,
1,07/10/1990,8.5,,2.6,,,46,,
8190746,07/24/1990,5,NO,1.5,,,54,,
1,08/06/1990,7.5,,2.3,,,48,,
8190746,08/07/1990,5,NO,1.5,,,54,,
8190746,08/17/1990,4.75,NO,1.4,,,55,,
8190746,08/27/1990,5.75,NO,1.7,,,52,,
1,05/21/1991,10,,3,,,44,,
8190746,05/22/1991,7,NO,2.1,,,49,,
8190746,06/06/1991,8,NO,2.4,,,47,,
1,06/25/1991,8,,2.4,,,47,,
1,06/27/1991,,,,6,17,,50,48
8190746,07/01/1991,11.75,NO,3.6,,,42,,
1,07/18/1991,,,,10,17,,50,52
8190746,08/13/1991,6,NO,1.8,,,51,,
1,08/19/1991,5.5,,1.7,,,53,,
1,08/26/1991,,,,11,13,,48,53
8190746,09/05/1991,5,NO,1.5,,,54,,
8190746,10/01/1991,6,NO,1.8,,,51,,
1,06/22/1992,10,,3,,,44,,
1,07/27/1992,6.5,,2,,,50,,
1,08/31/1992,7,,2.1,,,49,,
1,09/11/1994,5.5,NO,1.7,,30,53,54,
1,06/12/1996,,,,,21,,52,
1,04/29/1998,,,,,25,,53,
1,07/13/1998,,,,,19,,51,
18137361,02/20/2004,,,,,,,,
18137361,04/16/2004,4.5,NO,1.4,,,55,,
18137361,06/30/2004,8,NO,2.4,,,47,,
18137361,08/09/2004,5.5,NO,1.7,,,53,,
18137361,09/13/2004,5.5,NO,1.7,,,53,,
18137361,11/08/2004,9,NO,2.7,,,45,,
18137361,02/07/2005,,,,,,,,
18137361,04/14/2005,7.5,NO,2.3,,,48,,
18137361,06/27/2005,8.2,NO,2.5,,,47,,
18137361,06/29/2005,8.3,NO,2.5,,,47,,
18137361,07/18/2005,7,NO,2.1,,,49,,
18137361,08/09/2005,5,NO,1.5,,,54,,
18137361,08/29/2005,6.5,NO,2,,,50,,
18137361,09/08/2005,6,NO,1.8,,,51,,
18137361,11/15/2005,7,NO,2.1,,,49,,
18137361,04/11/2006,8,NO,2.4,,,47,,
18137361,07/25/2006,4.5,NO,1.4,,,55,,
18137361,08/16/2006,5,NO,1.5,,,54,,
18137361,09/15/2006,5,NO,1.5,,,54,,
1,05/22/2008,,,,,22,,52,
1,06/19/2008,,,,12.8,22,,52,54
18137361,06/19/2008,7.9,NO,2.4,,,47,,
25386270,07/22/2008,4.75,NO,1.4,13.5,24,55,53,54
1,07/24/2008,,,,12,26,,53,54
25386270,08/20/2008,3.5,NO,1.1,9.81,56,59,59,52
18137361,05/28/2009,8,NO,2.4,,20,47,51,
18137361,07/01/2009,,,,10.8,20,,51,53
29525891,07/27/2009,,,,6.83,17,,50,49
18137361,09/09/2009,6.2,NO,1.9,12.4,13,51,48,54
18137361,06/02/2010,10.9,NO,3.3,,,43,,
34991315,06/02/2010,,,,3.26,13,,48,44
18137361,06/30/2010,10.9,NO,3.3,,,43,,
34991310,06/30/2010,,,,5.12,35,,56,47
1,07/27/2010,,,,12.7,20,,51,54
29401203,07/27/2010,5,NO,1.5,,,54,,
29401203,08/20/2010,4.9,NO,1.5,,,54,,
35007228,08/20/2010,,,,10.5,26,,53,53
18137361,09/17/2010,5.5,NO,1.7,,,53,,
34991326,09/17/2010,,,,5.15,27,,54,47
18137361,05/04/2011,7.5,NO,2.3,,16,48,50,
29401203,05/26/2011,9.25,NO,2.8,,,45,,
48236087,05/26/2011,,,,,21,,52,
29401203,06/29/2011,9.25,NO,2.8,,,45,,
48236087,06/29/2011,,,,5.96,20,,51,48
29401203,07/25/2011,6.25,NO,1.9,,,51,,
48236087,07/25/2011,,,,8.99,18,,51,51
29401203,08/24/2011,7,NO,2.1,,,49,,
48236087,08/24/2011,,,,8.63,19,,51,51
29401203,09/20/2011,7,NO,2.1,,,49,,
48236087,09/20/2011,,,,,16,,50,
18137361,04/03/2012,12,NO,3.6,,11,41,47,
34991315,06/26/2012,9.75,NO,3,5.98,16,44,50,48
29401203,07/18/2012,5,NO,1.5,,,54,,
34991315,07/18/2012,,,,10.1,15,,49,52
29401203,08/28/2012,8.5,NO,2.6,,,46,,
34991315,08/28/2012,,,,6.91,17,,50,49
29401203,09/17/2012,6,NO,1.8,,,51,,
34991315,09/17/2012,,,,8.92,20,,51,51
18137361,05/01/2013,9,NO,2.7,,25.7,45,53,
29401203,06/25/2013,12,NO,3.6,,,41,,
34991315,06/25/2013,,,,3.43,8.27,,45,44
29401203,07/30/2013,6.75,NO,2.1,,,50,,
34991315,07/30/2013,,,,7.01,10.8,,47,50
29401203,08/27/2013,6.25,NO,1.9,,,51,,
34991315,08/27/2013,,,,8.47,14.1,,49,51
29401203,09/24/2013,6.25,NO,1.9,,,51,,
34991315,09/24/2013,,,,6.71,14.9,,49,49
29401203,10/14/2013,13,NO,4,,,40,,
34991315,10/14/2013,,,,3.5,14.2,,49,44
29401203,06/10/2014,9,NO,2.7,,,45,,
34991315,06/10/2014,,,,2.15,14.4,,49,41
29401203,07/14/2014,7,NO,2.1,,,49,,
29401203,08/25/2014,4.5,NO,1.4,,,55,,
34991315,08/25/2014,,,,12.6,17.4,,50,54
29401203,09/22/2014,6,NO,1.8,,,51,,
34991315,09/22/2014,,,,12.9,18.8,,51,54
29401203,10/20/2014,12,NO,3.6,,,41,,
34991315,10/20/2014,,,,3.95,15.4,,49,45
18137361,04/16/2015,12,NO,3.6,,11.7,41,47,
29401203,06/29/2015,11.5,NO,3.5,5.92,14.1,42,49,48
1,07/27/2015,,,,8.94,16.8,,50,51
29401203,07/27/2015,6.5,NO,2,,,50,,
1,08/17/2015,,,,9.96,16.8,,50,52
29401203,08/17/2015,5.75,NO,1.7,,,52,,
29401203,09/15/2015,6,NO,1.8,13.3,14.9,51,49,54
1,10/19/2015,,,,1.14,15.7,,49,36
29401203,10/19/2015,17,NO,5.2,,,36,,
1,03/29/2016,,,,,17.7,,50,
18137361,03/29/2016,8.5,NO,2.6,,,46,,
29401203,06/20/2016,16.5,NO,5,,,37,,
34991315,06/20/2016,,,,3.18,11.4,,47,44
34991315,07/24/2016,,,,,14.6,,49,
29401203,07/25/2016,5.5,NO,1.7,,,53,,
29401203,08/15/2016,6.25,NO,1.9,,,51,,
34991315,08/15/2016,,,,4.88,21.5,,52,47
1,06/29/2017,,,,5.52,14.6,,49,48
18137361,06/29/2017,12.6,NO,3.8,,,41,,
1,07/26/2017,,,,14.1,21.5,,52,55
1,08/30/2017,,,,8.35,23.8,,53,51
