Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
10589084,06/24/2015,,,,12.4,103,,64,54
10589084,07/08/2015,2.6,N,0.8,7.64,109,63,64,50
10589084,07/23/2015,1.6,N,0.5,20.2,100,70,64,58
10589084,08/04/2015,2.5,N,0.75,43.7,124,64,65,63
10589084,08/17/2015,,,,49.5,134,,66,64
10589084,06/22/2016,,,,,94.7,,63,
10589084,07/05/2016,,,,4.12,99.6,,64,46
10589084,07/19/2016,2.5,NO,0.8,24.7,104,64,64,59
10589084,08/02/2016,1.5,NO,0.5,79.7,126,71,66,68
10589084,08/16/2016,2.5,NO,0.8,,,64,,
10589084,08/29/2016,2.5,NO,0.8,16.7,136,64,66,56
10589084,09/12/2016,,,,11.2,119,,65,53
10589084,09/13/2016,2.5,NO,0.8,,,64,,
