Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,09/12/1973,,,,,190,,69,
1,10/30/1973,,,,,100,,64,
1,02/27/1974,,,,,60,,60,
1,05/01/1974,,,,,20,,51,
1,07/16/1974,,,,,40,,57,
1,10/08/1974,,,,,30,,54,
1,02/08/1975,,,,,50,,58,
8190019,09/17/1989,4.5,NO,1.4,,,55,,
8190019,05/20/1990,17,NO,5.2,,,36,,
8190019,05/26/1990,18,NO,5.5,,,35,,
8190019,06/10/1990,17,NO,5.2,,,36,,
8190019,06/24/1990,12.5,NO,3.8,,,41,,
8190019,07/08/1990,9,NO,2.7,,,45,,
8190019,07/15/1990,6.5,NO,2,,,50,,
8190019,07/22/1990,6,NO,1.8,,,51,,
8190019,07/29/1990,6.5,NO,2,,,50,,
8190019,08/11/1990,6.5,NO,2,,,50,,
8190019,08/19/1990,4.5,NO,1.4,,,55,,
8190019,06/16/1991,7.5,NO,2.3,,,48,,
8190019,07/21/1991,9.75,NO,3,,,44,,
8190019,08/03/1991,7,NO,2.1,,,49,,
8190019,08/11/1991,4.25,NO,1.3,,,56,,
8190019,06/06/1993,11,NO,3.3,,,43,,
8190019,06/19/1994,11,NO,3.3,,,43,,
8190019,06/26/1994,8.5,NO,2.6,,,46,,
8190019,07/10/1994,5.5,NO,1.7,,,53,,
8190019,07/16/1994,4,NO,1.2,,,57,,
8190019,08/21/1994,4.5,NO,1.4,,,55,,
8190019,06/25/1995,10.25,NO,3.1,,,44,,
8190019,07/04/1995,7.5,NO,2.3,,,48,,
8190019,07/15/1995,,,,,,,,
8190019,07/22/1995,,,,,,,,
8190019,07/29/1995,,,,,,,,
8190019,09/02/1995,,,,,,,,
1,06/10/1996,,,,2.36,13,,48,41
1,06/24/1996,,,,6.39,7,,43,49
1,07/09/1996,,,,10.7,21,,52,53
1,07/23/1996,,,,22.8,7,,43,58
1,08/06/1996,,,,35.9,11,,47,62
1,08/13/1996,,,,,7,,43,
1,08/19/1996,,,,43.8,8,,44,63
1,08/26/1996,,,,42.1,7,,43,63
1,09/03/1996,,,,57.9,9,,45,65
1,09/10/1996,,,,44,7,,43,63
8189043,07/19/1999,4,NO,1.2,,,57,,
8189043,07/26/1999,4.25,NO,1.3,,,56,,
8189043,08/05/1999,4,NO,1.2,,,57,,
8189043,08/19/1999,4,NO,1.2,,,57,,
8189043,08/25/1999,5,NO,1.5,,,54,,
8189043,09/09/1999,6,NO,1.8,,,51,,
8189043,09/23/1999,6,NO,1.8,,,51,,
8189043,04/10/2000,,,,,,,,
8189043,05/01/2000,12,NO,3.6,,,41,,
8189043,05/08/2000,11,NO,3.3,,,43,,
8189043,05/14/2000,11.5,NO,3.5,,,42,,
8189043,05/20/2000,11.25,NO,3.4,,,42,,
8189043,05/29/2000,11,NO,3.3,,,43,,
8189043,06/09/2000,11,NO,3.3,,,43,,
8189043,06/19/2000,10.75,NO,3.3,,,43,,
8189043,06/25/2000,12,NO,3.6,,,41,,
8189043,06/29/2000,11,NO,3.3,,,43,,
8189043,07/11/2000,13,NO,4,,,40,,
8189043,07/16/2000,13.5,NO,4.1,,,40,,
8189043,07/22/2000,11,NO,3.3,,,43,,
8189043,07/28/2000,9.8,NO,3,,,44,,
8189043,08/03/2000,7,NO,2.1,,,49,,
8189043,08/10/2000,5.5,NO,1.7,,,53,,
1,08/13/2000,6.1,,1.9,16,26,51,53,56
8189043,08/19/2000,3,NO,0.9,,,61,,
8189043,08/26/2000,4,NO,1.2,,,57,,
1,08/29/2000,4.8,,1.5,30,64,55,60,61
8189043,09/03/2000,3,NO,0.9,,,61,,
8189043,09/16/2000,3,NO,0.9,,,61,,
8189043,05/16/2001,13,NO,4,,,40,,
8189043,05/26/2001,12.5,NO,3.8,,,41,,
8189043,06/08/2001,10,NO,3,,,44,,
8189043,06/19/2001,11,NO,3.3,,,43,,
8189043,06/28/2001,12.5,NO,3.8,,,41,,
8189043,07/05/2001,13,NO,4,,,40,,
8189043,07/14/2001,15,NO,4.6,,,38,,
8189043,07/21/2001,13,NO,4,,,40,,
8189043,07/30/2001,10,NO,3,,,44,,
8189043,08/06/2001,11.5,NO,3.5,,,42,,
8189043,08/13/2001,10,NO,3,,,44,,
8189043,08/15/2001,8,NO,2.4,,,47,,
8189043,08/20/2001,5.5,NO,1.7,,,53,,
8189043,08/31/2001,5,NO,1.5,,,54,,
8189043,09/08/2001,2.5,NO,0.8,,,64,,
8189043,09/16/2001,3,NO,0.9,,,61,,
8189043,10/02/2001,4,NO,1.2,,,57,,
8189043,10/18/2001,4.5,NO,1.4,,,55,,
8189043,05/17/2002,12.5,,3.8,,,41,,
8189043,05/24/2002,13,,4,,,40,,
8189043,05/30/2002,13,,4,,,40,,
8189043,06/07/2002,12,,3.6,,,41,,
8189043,06/17/2002,11,,3.3,,,43,,
8189043,06/28/2002,12.5,,3.8,,,41,,
8189043,07/03/2002,13,,4,,,40,,
8189043,07/11/2002,15,,4.6,,,38,,
8189043,07/19/2002,13.5,,4.1,,,40,,
8189043,07/30/2002,11,,3.3,,,43,,
8189043,08/05/2002,8,,2.4,,,47,,
8189043,08/12/2002,5,,1.5,,,54,,
8189043,08/16/2002,4,,1.2,,,57,,
8189043,08/23/2002,3,,0.9,,,61,,
8189043,09/02/2002,3,,0.9,,,61,,
8188711,05/20/2003,20,NO,6.1,,,34,,
8188711,05/27/2003,15,NO,4.6,,,38,,
8188711,06/05/2003,11,NO,3.3,,,43,,
8188711,06/18/2003,13,NO,4,,,40,,
8188711,07/03/2003,13.5,NO,4.1,,,40,,
8188711,07/20/2003,14,NO,4.3,,,39,,
8188711,08/05/2003,8,NO,2.4,,,47,,
8188711,08/20/2003,4,NO,1.2,,,57,,
8188711,09/05/2003,3.5,NO,1.1,,,59,,
8188711,09/21/2003,2.5,NO,0.8,,,64,,
8188711,10/08/2003,4,NO,1.2,,,57,,
16097350,08/12/2006,5.33,NO,1.6,,,53,,
16097350,08/20/2006,4.75,NO,1.4,,,55,,
16097350,08/27/2006,3.5,NO,1.1,,,59,,
16097350,09/09/2006,3.5,NO,1.1,,,59,,
16097350,09/23/2006,4,NO,1.2,,,57,,
16097350,09/29/2006,3.825,NO,1.2,,,58,,
16097350,05/19/2007,12,NO,3.6,,,41,,
16097350,06/16/2007,10,NO,3,,,44,,
16097350,07/06/2007,10,NO,3,,,44,,
16097350,07/30/2007,5.25,NO,1.6,,,53,,
16097350,08/31/2007,3.825,NO,1.2,,,58,,
18137029,09/13/2007,4,NO,1.2,37,62,56,60,62
16097350,09/15/2007,5,NO,1.5,,,54,,
18137029,05/19/2008,9.5,NO,2.9,,26,45,53,
16097350,06/14/2008,9.5,NO,2.9,,,45,,
18137029,06/18/2008,10.6,NO,3.2,,,43,,
18137029,06/19/2008,,,,3.01,18,,51,43
