Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
16073539,04/19/2006,6.8,NO,2.1,7.05,26,42,53,50
7000093,06/08/2006,7.6,NO,2.3,5.82,56,42,59,48
7000093,07/20/2006,,,,4.8,34,,55,47
10588956,08/17/2006,,,,22.5,41,,57,58
7000093,10/24/2006,9.2,NO,2.8,1.38,16,45,50,37
18069694,02/21/2007,10.8,YES,3.3,,11,43,47,
1,08/28/2014,8.5,N,2.6,6.67,13.6,46,48,49
34972241,04/14/2015,3.3,N,1,10.5,35.3,60,56,53
130839548,06/10/2015,5.5,N,1.7,5.66,36.4,53,56,48
16073539,07/20/2015,8.6,N,2.6,4.97,31.6,46,55,47
34972236,08/13/2015,6.3,NO,1.9,3.33,26,51,53,44
34972236,10/27/2015,11.4,N,3.5,1.39,18.9,42,51,37
34972241,02/10/2016,5.8,N,1.8,,26.7,52,54,
