Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,10/20/1999,,,,,8,,44,
18137437,05/14/2007,9,NO,2.7,,13,45,48,
18137437,06/18/2007,12,NO,3.6,,,41,,
18137437,07/17/2007,15,NO,4.6,0.91,9,38,45,34
18137437,08/26/2007,15.5,NO,4.7,4.08,7,38,43,45
18137437,05/10/2008,8,NO,2.4,,13,47,48,
18137437,06/13/2008,7.5,NO,2.3,10.9,11,48,47,53
18137437,07/14/2008,8.8,NO,2.7,4.63,12,46,47,46
18137437,08/10/2008,11.25,NO,3.4,2.03,16,42,50,40
18137437,09/17/2008,11.5,NO,3.5,,,42,,
18137437,05/15/2009,10.75,NO,3.3,,18,43,51,
18137437,06/13/2009,11.25,NO,3.4,2.69,15,42,49,42
18137437,07/06/2009,13,NO,4,2.62,12,40,47,42
29575558,07/14/2009,12,NO,3.6,,,41,,
18137437,08/08/2009,12,NO,3.6,,,41,,
18137437,08/10/2009,,,,2.84,12,,47,43
18137260,08/26/2009,10.5,NO,3.2,,,43,,
18137437,09/09/2009,13,NO,4,,,40,,
18137437,04/18/2010,,,,,12,,47,
18137437,05/18/2010,8,NO,2.4,,,47,,
35006126,06/07/2010,13.75,NO,4.2,,,39,,
18137437,06/20/2010,12,NO,3.6,2.17,11,41,47,41
18137437,07/23/2010,11,NO,3.3,3.09,7,43,43,43
18137437,08/23/2010,12,NO,3.6,2.44,7,41,43,42
18137437,09/18/2010,11,NO,3.3,,,43,,
18137437,05/20/2011,10.5,NO,3.2,,18,43,51,
18137437,06/25/2011,13,NO,4,2.78,14,40,49,43
18137437,07/20/2011,12,NO,3.6,2.12,7,41,43,40
18137437,08/22/2011,13,NO,4,4.29,13,40,48,46
18137437,05/23/2012,6.5,NO,2,,20,50,51,
18137437,06/25/2012,9,NO,2.7,3.24,20,45,51,44
18137437,07/27/2012,9.5,NO,2.9,3.01,13,45,48,43
18137437,08/28/2012,13,NO,4,3.8,10,40,46,45
18137437,05/15/2013,,,,,15.8,,50,
18137437,06/19/2013,,,,1.94,10.9,,47,40
18137437,07/22/2013,,,,2.23,7.32,,44,41
18137437,08/06/2013,,,,,,,,
18137437,08/16/2013,,,,3.39,10.1,,46,44
18137437,09/25/2013,,,,,,,,
18137437,05/18/2014,14.5,NO,4.4,,12,39,47,
18137437,06/16/2014,15,NO,4.6,0.493,9.59,38,46,29
18137437,07/18/2014,16,,4.9,1.54,10.8,37,47,38
18137437,08/24/2014,10,NO,3,5.7,16.4,44,50,48
18137437,09/23/2014,10.5,NO,3.2,,,43,,
18137437,04/24/2015,16,NO,4.9,,15.1,37,49,
18137437,06/16/2015,12,NO,3.6,3.61,14.1,41,49,45
18137437,07/23/2015,10,NO,3,1.01,11.5,44,47,35
18137437,08/22/2015,10,NO,3,2.79,16.4,44,50,43
18137437,04/18/2016,14,NO,4.3,,18.3,39,51,
18137437,06/23/2016,12,NO,3.6,2.7,14.8,41,49,42
18137437,07/16/2016,,,,4.77,17,,50,47
18137437,07/18/2016,7.5,NO,2.3,,,48,,
18137437,08/22/2016,11.5,NO,3.5,2.87,13.3,42,48,43
18137437,04/13/2017,14.5,NO,4.4,,24.1,39,53,
18137437,06/22/2017,7,NO,2.1,3.71,23.5,49,53,45
18137437,07/17/2017,7.5,NO,2.3,2.49,20.8,48,52,42
18137437,08/29/2017,8,NO,2.4,4.51,11.7,47,47,46
