Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8189240,09/30/1997,5.5,NO,1.7,,,53,,
8189240,05/19/1998,7,NO,2.1,,,49,,
8189240,05/28/1998,9,NO,2.7,,,45,,
8189240,06/07/1998,7,NO,2.1,,,49,,
8189240,06/26/1998,8.5,NO,2.6,,,46,,
8189240,07/07/1998,7,NO,2.1,,,49,,
8189240,07/22/1998,6,NO,1.8,,,51,,
8189240,07/30/1998,7,NO,2.1,,,49,,
8189240,08/07/1998,8,NO,2.4,,,47,,
8189240,08/14/1998,6,NO,1.8,,,51,,
8189240,08/21/1998,7,NO,2.1,,,49,,
8189240,08/28/1998,6,NO,1.8,,,51,,
8189240,09/03/1998,8,NO,2.4,,,47,,
8189240,09/11/1998,7,NO,2.1,,,49,,
8189240,09/15/1998,6,NO,1.8,,,51,,
8189240,09/25/1998,6,NO,1.8,,,51,,
8189240,09/30/1998,4.5,NO,1.4,,,55,,
8189240,05/25/2000,10,NO,3,,,44,,
8189240,06/25/2000,11,NO,3.3,,,43,,
8189240,07/10/2000,9,NO,2.7,,,45,,
8189240,07/19/2000,10,NO,3,,,44,,
8189240,08/16/2000,7,NO,2.1,,,49,,
8189240,08/29/2000,7,NO,2.1,,,49,,
8189240,09/13/2000,7,NO,2.1,,,49,,
8189240,09/30/2000,8,NO,2.4,,,47,,
8189240,05/30/2001,9,NO,2.7,,,45,,
8189240,06/12/2001,7.5,NO,2.3,,,48,,
8189240,06/27/2001,8.25,NO,2.5,,,47,,
8189240,07/10/2001,6.5,NO,2,,,50,,
8189240,07/19/2001,6,NO,1.8,,,51,,
8189240,08/13/2001,8.5,NO,2.6,,,46,,
8189240,09/21/2001,7.5,NO,2.3,,,48,,
8189240,10/02/2001,8,NO,2.4,,,47,,
8189240,06/05/2002,12.5,NO,3.8,,,41,,
8189240,06/21/2002,9,NO,2.7,,,45,,
8189240,06/26/2002,10.5,NO,3.2,,,43,,
8189240,07/15/2002,11,NO,3.3,,,43,,
8189240,08/10/2002,8.5,NO,2.6,,,46,,
8189240,08/30/2002,6.5,NO,2,,,50,,
8189240,09/16/2002,6,NO,1.8,,,51,,
8189240,10/01/2002,6.5,NO,2,,,50,,
8189240,05/27/2003,9.5,NO,2.9,,,45,,
8189240,06/15/2003,10,NO,3,,,44,,
