Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,03/02/1994,,,,1.53,8,,44,38
8190420,05/22/1994,20.75,NO,6.3,,,33,,
8190420,05/30/1994,15.75,NO,4.8,,,37,,
8190420,06/06/1994,13.5,NO,4.1,,,40,,
8190420,06/12/1994,12.75,NO,3.9,,,40,,
8190420,06/20/1994,14.25,NO,4.3,,,39,,
1,06/21/1994,13.8,,4.2,2.85,7,39,43,43
8190420,07/11/1994,16.33,NO,5,,,37,,
8190420,07/18/1994,34,NO,10.3,,,26,,
8190420,07/24/1994,34,NO,10.3,,,26,,
1,07/26/1994,17.4,,5.3,2.2,7,36,43,41
8190420,08/08/1994,17.5,NO,5.3,,,36,,
8190420,08/14/1994,17.75,NO,5.4,,,36,,
8190420,08/22/1994,18.5,NO,5.6,,,35,,
8190420,08/28/1994,19,NO,5.8,,,35,,
1,08/29/1994,17.7,,5.4,2.1,10,36,46,40
8190420,09/05/1994,17.25,NO,5.2,,,36,,
8190420,09/10/1994,17.25,NO,5.2,,,36,,
8190420,09/18/1994,19.5,NO,5.9,,,34,,
8190420,10/10/1994,24,NO,7.3,,,31,,
1,11/07/1994,12.1,,3.7,1.96,24,41,53,40
8190420,04/22/1995,19.5,NO,5.9,,,34,,
8190420,05/06/1995,18.25,NO,5.5,,,35,,
8190420,05/09/1995,18.5,NO,5.6,,,35,,
8190420,06/04/1995,17,NO,5.2,,,36,,
8190420,06/12/1995,14,NO,4.3,,,39,,
8190420,06/19/1995,17,NO,5.2,,,36,,
8190420,07/09/1995,17.5,NO,5.3,,,36,,
8190420,07/23/1995,17.5,NO,5.3,,,36,,
8190420,08/14/1995,11.5,NO,3.5,,,42,,
8190420,09/03/1995,17.5,NO,5.3,,,36,,
8190420,10/08/1995,23,NO,7,,,32,,
8190420,06/09/1996,26.5,NO,8.1,,,30,,
8190420,07/07/1996,21,NO,6.4,,,33,,
8190420,07/15/1996,21.5,NO,6.5,,,33,,
8190420,08/10/1996,21.5,NO,6.5,,,33,,
8190420,08/18/1996,20.5,NO,6.2,,,34,,
8190420,09/02/1996,19.75,NO,6,,,34,,
8190420,09/29/1996,29.5,NO,9,,,28,,
8190420,10/13/1996,27.5,NO,8.4,,,29,,
8190420,06/02/1997,21,NO,6.4,,,33,,
8190420,06/23/1997,24,NO,7.3,,,31,,
8190420,06/30/1997,24,NO,7.3,,,31,,
8190420,07/13/1997,24,NO,7.3,,,31,,
8190420,07/28/1997,23.25,NO,7.1,,,32,,
8190420,08/16/1997,20.5,NO,6.2,,,34,,
8190420,09/06/1997,18,NO,5.5,,,35,,
8190420,05/31/1998,21,NO,6.4,,,33,,
8190420,06/15/1998,17,NO,5.2,,,36,,
8190420,07/03/1998,19,NO,5.8,,,35,,
8190420,07/26/1998,20.5,NO,6.2,,,34,,
8190420,08/23/1998,22,NO,6.7,,,33,,
8190420,08/30/1998,21.5,NO,6.5,,,33,,
8190420,09/07/1998,21.5,NO,6.5,,,33,,
8190420,10/24/1998,30.5,NO,9.3,,,28,,
8190420,04/25/1999,24.5,NO,7.4,,,31,,
8190420,05/01/1999,21,NO,6.4,,,33,,
8190420,05/16/1999,17,NO,5.2,,,36,,
8190420,06/05/1999,17,NO,5.2,,,36,,
8190420,06/26/1999,15.5,NO,4.7,,,38,,
8190420,07/24/1999,19,NO,5.8,,,35,,
8190420,08/21/1999,19,NO,5.8,,,35,,
8190420,09/28/1999,23,NO,7,,,32,,
8190420,04/23/2000,21,NO,6.4,,,33,,
8190420,07/11/2000,21,NO,6.4,,,33,,
8190420,07/27/2000,20.5,NO,6.2,,,34,,
8190420,08/13/2000,24,NO,7.3,,,31,,
8190420,08/29/2000,21.5,NO,6.5,,,33,,
8190420,09/14/2000,23,NO,7,,,32,,
8190420,09/29/2000,24,NO,7.3,,,31,,
8190420,10/15/2000,24,NO,7.3,,,31,,
8190420,01/01/2001,1,YES,0.3,,,77,,
8190420,05/16/2001,13,NO,4,,,40,,
8190420,05/19/2001,14.5,NO,4.4,,,39,,
8190420,06/05/2001,18,NO,5.5,,,35,,
8190420,06/17/2001,12.5,NO,3.8,,,41,,
8190420,07/09/2001,17,NO,5.2,,,36,,
8190420,08/02/2001,19,NO,5.8,,,35,,
8190420,08/19/2001,19.5,NO,5.9,,,34,,
8190420,08/31/2001,15,NO,4.6,,,38,,
8190420,09/22/2001,18,NO,5.5,,,35,,
8190420,10/07/2001,22,NO,6.7,,,33,,
8190420,10/22/2001,15.5,NO,4.7,,,38,,
8190420,05/16/2002,16,NO,4.9,,,37,,
8190420,05/27/2002,22.5,NO,6.8,,,32,,
8190420,06/12/2002,21.5,NO,6.5,,,33,,
8190420,07/09/2002,14,NO,4.3,,,39,,
8190420,07/23/2002,16,NO,4.9,,,37,,
8190420,08/13/2002,17,NO,5.2,,,36,,
8190420,08/18/2002,17.5,NO,5.3,,,36,,
8190420,09/04/2002,16,NO,4.9,,,37,,
8190420,09/24/2002,14,NO,4.3,,,39,,
8190420,10/09/2002,9,NO,2.7,,,45,,
8190420,10/16/2002,11,NO,3.3,,,43,,
8190420,04/29/2003,8,NO,2.4,,,47,,
8190420,05/29/2003,9,NO,2.7,,,45,,
8190420,06/29/2003,10.5,NO,3.2,,,43,,
8190420,07/18/2003,15,NO,4.6,,,38,,
8190420,07/29/2003,14,NO,4.3,,,39,,
8190420,08/22/2003,13,NO,4,,,40,,
8190420,06/06/2004,17,NO,5.2,,,36,,
8190420,07/12/2004,19.5,NO,5.9,,,34,,
8190420,08/22/2004,17,NO,5.2,,,36,,
8190420,09/11/2004,17,NO,5.2,,,36,,
8190420,05/29/2005,15.5,NO,4.7,,,38,,
8190420,07/29/2005,15.5,NO,4.7,,,38,,
8190420,08/28/2005,11.5,NO,3.5,,,42,,
8190420,09/18/2005,11.5,NO,3.5,,,42,,
8190420,05/29/2006,14.25,NO,4.3,,,39,,
8190420,06/14/2006,13.5,NO,4.1,1.15,12,40,47,36
8190420,06/30/2006,14.5,NO,4.4,,,39,,
8190420,07/17/2006,15.5,NO,4.7,1.58,12,38,47,38
8190420,08/15/2006,14.5,NO,4.4,4.41,11,39,47,46
8190420,08/29/2006,13,NO,4,,,40,,
8190420,09/24/2006,13.5,NO,4.1,,,40,,
8190420,10/15/2006,9.5,NO,2.9,4.37,18,45,51,46
8190420,05/12/2007,12.25,NO,3.7,,,41,,
8190420,06/09/2007,13.5,NO,4.1,,22,40,52,
8190420,06/27/2007,14.5,NO,4.4,1.81,13,39,48,39
8190420,07/29/2007,15.5,NO,4.7,1.29,8,38,44,37
8190420,08/29/2007,11,NO,3.3,3.76,14,43,49,45
8190420,09/22/2007,10.5,NO,3.2,,,43,,
8190420,10/31/2007,10,NO,3,,,44,,
8190420,05/12/2008,10.5,NO,3.2,,11,43,47,
8190420,06/18/2008,22.25,NO,6.8,1.18,10,32,46,36
8190420,07/07/2008,14,NO,4.3,,,39,,
8190420,07/22/2008,20,NO,6.1,1.41,10,34,46,37
8190420,08/25/2008,17,NO,5.2,4.68,7,36,43,46
8190420,10/20/2008,11,NO,3.3,,,43,,
8190420,04/22/2009,17.25,NO,5.2,,21,36,52,
