Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8190044,09/23/1997,10,NO,3,,,44,,
8189060,10/17/1999,13,NO,4,,,40,,
8189133,05/07/2000,15,NO,4.6,,,38,,
8189060,06/25/2000,13,NO,4,,,40,,
8189133,07/11/2000,12,NO,3.6,,,41,,
8189017,08/28/2000,10,NO,3,,,44,,
8189838,10/04/2000,14,NO,4.3,,,39,,
8189176,05/13/2001,11,NO,3.3,,,43,,
8189133,06/27/2001,13,NO,4,,,40,,
8189017,08/19/2001,12,NO,3.6,,,41,,
8189133,10/09/2001,21,NO,6.4,,,33,,
8189133,05/15/2002,16,NO,4.9,,,37,,
8189017,08/11/2002,15,NO,4.6,,,38,,
8189176,09/16/2002,12,NO,3.6,,,41,,
8189017,10/23/2002,16,NO,4.9,,,37,,
8189133,04/30/2003,15,NO,4.6,,,38,,
8189017,07/04/2003,13,NO,4,,,40,,
8189017,07/19/2003,11,NO,3.3,,,43,,
8189838,10/05/2003,18,NO,5.5,,,35,,
8189017,05/17/2004,10,NO,3,,,44,,
8189133,10/12/2004,11,NO,3.3,,,43,,
8189133,06/21/2005,12,NO,3.6,,,41,,
8189133,05/31/2006,14,NO,4.3,,,39,,
8188767,07/02/2006,11,NO,3.3,,,43,,
8188767,07/15/2006,12,NO,3.6,,,41,,
18137097,06/22/2014,,,,3.01,17,,50,43
120924223,09/15/2015,10.5,YES,3.2,,,43,,
120924223,09/28/2015,11,NO,3.3,,,43,,
120924223,06/06/2016,15,YES,4.6,,,38,,
120924223,06/27/2016,10.5,NO,3.2,5.68,28.6,43,54,48
120924223,07/25/2016,,,,5.72,22,,52,48
120924223,08/06/2016,12.5,NO,3.8,,,41,,
120924223,10/01/2016,13,NO,4,,,40,,
120924223,10/03/2016,,,,5.51,17.7,,50,48
120924223,10/21/2016,12.5,NO,3.8,,,41,,
120924223,04/02/2017,13,NO,4,,,40,,
120924223,05/29/2017,13,NO,4,,,40,,
120924223,06/17/2017,14,NO,4.3,,,39,,
1,06/19/2017,,,,6.1,,,,48
120924223,07/17/2017,14.6,NO,4.4,,,39,,
120924223,08/29/2017,11.5,NO,3.5,2.3,25.4,42,53,41
120924223,09/01/2017,,,,,,,,
120924223,09/29/2017,11,NO,3.3,,,43,,
