Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8189108,06/06/2002,7,NO,2.1,,,49,,
8189108,07/03/2002,9,NO,2.7,,,45,,
8189108,07/10/2002,11.75,NO,3.6,,,42,,
28613168,05/29/2009,,,,2.29,13,,48,41
28613168,06/03/2009,,,,2.07,25,,53,40
28613168,06/24/2009,,,,1.52,10,,46,38
8188659,08/26/2009,,,,3.65,,,,45
28613168,09/23/2009,,,,7.35,16,,50,50
27106588,06/20/2011,10,NO,3,,,44,,
27106588,06/29/2011,8,NO,2.4,,,47,,
27106588,07/15/2011,7.75,NO,2.4,,,48,,
36798883,07/26/2011,6.75,NO,2.1,,,50,,
27106588,08/08/2011,7,NO,2.1,,,49,,
27106588,08/23/2011,6.5,NO,2,,,50,,
27106588,09/21/2011,9.5,NO,2.9,,,45,,
27106588,06/05/2012,9,NO,2.7,,,45,,
27106588,06/15/2012,10,NO,3,,,44,,
27106588,07/30/2012,8.5,NO,2.6,,,46,,
27106588,08/21/2012,11.5,NO,3.5,,,42,,
27106588,06/11/2013,10.5,NO,3.2,,,43,,
27106588,07/07/2013,12,NO,3.6,,,41,,
8188681,07/24/2013,9,NO,2.7,,,45,,
27106588,08/26/2013,12.5,NO,3.8,,,41,,
27106588,09/11/2013,12,NO,3.6,,,41,,
27106588,05/22/2014,9,NO,2.7,,,45,,
27106588,06/20/2014,11,NO,3.3,,,43,,
101099296,08/07/2014,9,NO,2.7,,,45,,
101099296,08/27/2014,9.5,NO,2.9,,,45,,
27106588,09/17/2014,9,NO,2.7,,,45,,
101099296,04/29/2015,,,,,14.8,,49,
27106588,06/23/2015,11,NO,3.3,,,43,,
27106588,07/01/2015,9.5,NO,2.9,4.43,16.2,45,50,46
27106588,07/23/2015,10, ,3,,,44,,
101099296,07/27/2015,11,NO,3.3,3.35,22.4,43,52,44
27106588,08/12/2015,11,NO,3.3,,,43,,
27106588,08/24/2015,10,NO,3,,,44,,
101099296,08/24/2015,,,,3.08,19,,51,43
101099296,08/27/2015,,NO,,,,,,
27106588,09/22/2015,13.5,NO,4.1,,,40,,
101099296,05/03/2016,,,,,17.1,,50,
101099296,05/17/2016,,,,,13.6,,48,
101099296,05/28/2016,13,NO,4,,,40,,
101099296,06/21/2016,,,,1.88,12.8,,48,40
101099296,06/28/2016,12,NO,3.6,,,41,,
101099296,07/20/2016,,,,1.74,17.1,,50,39
101099296,08/17/2016,,,,2.89,20.8,,52,43
101099296,08/26/2016,10,NO,3,,,44,,
101099296,05/16/2017,12,,3.6,,,41,,
101099296,06/26/2017,,,,7.35,21.1,,52,50
101099296,06/27/2017,9,,2.7,,,45,,
101099296,07/17/2017,10,,3,,,44,,
101099296,07/24/2017,,,,1.99,16.1,,50,40
101099296,08/07/2017,10,,3,,,44,,
101099296,08/21/2017,,,,2.24,13,,48,41
101099296,09/07/2017,11,,3.3,,,43,,
