Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
7000017,05/21/1996,4.5,,1.4,7.8,23,55,52,50
7000017,08/21/1996,4.2,,1.3,16.7,29,56,54,56
8189476,06/02/1999,5,NO,1.5,,,54,,
8189476,06/11/1999,5,NO,1.5,,,54,,
8189476,06/18/1999,4,NO,1.2,,,57,,
8189476,06/24/1999,4.5,NO,1.4,,,55,,
8189429,07/01/1999,4.5,NO,1.4,,,55,,
8189429,07/06/1999,5,NO,1.5,,,54,,
8189429,07/13/1999,4,NO,1.2,,,57,,
8189429,07/22/1999,3.75,NO,1.1,,,58,,
8189429,07/29/1999,3,NO,0.9,,,61,,
8189429,08/01/1999,2.75,NO,0.8,,,63,,
8189429,08/02/1999,2.75,NO,0.8,,,63,,
8189429,08/12/1999,2.75,NO,0.8,,,63,,
8189429,08/19/1999,3,NO,0.9,,,61,,
8189429,08/26/1999,3,NO,0.9,,,61,,
8189429,09/02/1999,3.5,NO,1.1,,,59,,
8189429,09/10/1999,3.5,NO,1.1,,,59,,
8189429,09/16/1999,3.5,NO,1.1,,,59,,
8189429,09/24/1999,3.5,NO,1.1,,,59,,
8189429,09/29/1999,3.25,NO,1,,,60,,
8189429,10/06/1999,4,NO,1.2,,,57,,
8189429,10/15/1999,4,NO,1.2,,,57,,
8189431,04/30/2000,5,NO,1.5,,,54,,
8189431,05/16/2000,5,NO,1.5,,,54,,
8189431,05/25/2000,5,NO,1.5,,,54,,
8189431,05/31/2000,5,NO,1.5,,,54,,
8189431,06/08/2000,5,NO,1.5,,,54,,
8189431,06/12/2000,4.75,NO,1.4,,,55,,
8189431,06/29/2000,4.5,NO,1.4,,,55,,
8189431,07/04/2000,4.5,NO,1.4,,,55,,
8189431,07/11/2000,3,NO,0.9,,,61,,
8189431,07/17/2000,3,NO,0.9,,,61,,
8189431,08/03/2000,3.25,NO,1,,,60,,
8189431,08/11/2000,2.75,NO,0.8,,,63,,
8189431,08/19/2000,2.25,NO,0.7,,,65,,
8189431,08/21/2000,2.75,NO,0.8,,,63,,
8189431,09/06/2000,3,NO,0.9,,,61,,
8189431,09/20/2000,3,NO,0.9,,,61,,
8189431,10/09/2000,4.5,NO,1.4,,,55,,
8189431,10/20/2000,4,NO,1.2,,,57,,
8189430,05/30/2001,4,NO,1.2,,28,57,54,
8189431,05/30/2001,4,NO,1.2,,,57,,
8189431,06/08/2001,4.25,NO,1.3,,,56,,
8189431,06/14/2001,4.25,NO,1.3,,,56,,
8189431,06/22/2001,4.25,NO,1.3,,,56,,
8189430,06/25/2001,4.5,NO,1.4,8,27,55,54,51
8189431,06/25/2001,4.5,NO,1.4,,,55,,
8189431,07/07/2001,4.25,NO,1.3,,,56,,
8189430,07/11/2001,4.5,NO,1.4,11,25,55,53,53
8189431,07/11/2001,4.25,NO,1.3,,,56,,
8189431,07/19/2001,4.75,NO,1.4,,,55,,
8189431,07/27/2001,3.5,NO,1.1,,,59,,
8189431,08/03/2001,3.25,NO,1,,,60,,
8189431,08/08/2001,3,NO,0.9,,,61,,
8189431,08/17/2001,3.25,NO,1,,,60,,
8189430,08/20/2001,3,NO,0.9,38,37,61,56,62
8189431,08/20/2001,3,NO,0.9,,,61,,
8189431,08/24/2001,2.75,NO,0.8,,,63,,
8189431,09/13/2001,3.75,NO,1.1,,,58,,
8189430,09/18/2001,3.25,NO,1,26,37,60,56,59
8189431,09/18/2001,3.25,NO,1,,,60,,
8189431,10/01/2001,3.75,NO,1.1,,,58,,
8189431,10/09/2001,5,YES,1.5,,,54,,
8188874,05/27/2002,3.75,NO,1.1,,,58,,
8188874,06/08/2002,4.25,NO,1.3,,,56,,
8188874,06/20/2002,3.75,NO,1.1,,,58,,
8188874,06/24/2002,3.75,NO,1.1,,,58,,
8188874,06/25/2002,3.75,NO,1.1,,,58,,
8188874,07/06/2002,3.75,NO,1.1,,,58,,
8188874,07/11/2002,3.25,NO,1,,,60,,
8188874,07/17/2002,3.75,NO,1.1,,,58,,
8188874,07/26/2002,3.25,NO,1,,,60,,
8188874,08/02/2002,3,NO,0.9,,,61,,
8188874,08/08/2002,3,NO,0.9,,,61,,
8188874,08/16/2002,3.25,NO,1,,,60,,
8188874,08/22/2002,3.75,NO,1.1,,,58,,
8188874,08/26/2002,3.75,NO,1.1,,,58,,
8188874,09/08/2002,3.5,NO,1.1,,,59,,
8188874,09/27/2002,2.75,NO,0.8,,,63,,
8188874,10/01/2002,2.5,NO,0.8,,,64,,
8189430,10/01/2002,2.75,NO,0.8,,,63,,
8189429,05/10/2003,4.25,NO,1.3,,,56,,
8189429,05/24/2003,4,NO,1.2,,,57,,
8189431,05/27/2003,3.25,NO,1,,,60,,
8189429,06/04/2003,4,NO,1.2,,,57,,
8189429,06/11/2003,4,NO,1.2,,,57,,
8189429,06/16/2003,4.75,NO,1.4,,,55,,
8189431,06/23/2003,3.75,NO,1.1,,,58,,
8189429,07/03/2003,4,NO,1.2,,,57,,
8189429,07/08/2003,4,NO,1.2,,,57,,
8189431,07/16/2003,3,NO,0.9,,,61,,
8189429,07/26/2003,2.75,NO,0.8,,,63,,
8189429,08/02/2003,2.75,NO,0.8,,,63,,
8189429,08/12/2003,2.25,NO,0.7,,,65,,
8189429,08/21/2003,2.5,NO,0.8,,,64,,
8189431,08/26/2003,1.5,NO,0.5,,,71,,
8189429,09/16/2003,2.75,NO,0.8,,,63,,
