Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8188654,08/23/1999,1,,0.3,69,288,77,72,67
8188531,08/29/2001,1.1,NO,0.3,112,719,76,79,70
8188774,05/04/2004,,,,,250,,71,
7000129,07/23/2004,,,,,,,,
8191193,07/23/2004,2.5,NO,0.8,,,64,,
7000129,08/27/2004,,,,72.8,,,,67
8188676,08/27/2004,1.5,NO,0.5,,,71,,
8188774,10/01/2004,1.5,NO,0.5,37.1,260,71,71,62
8191194,05/22/2006,1,NO,0.3,,,77,,
8191194,07/17/2006,1025,NO,311.6,,,-23,,
1,08/03/2006,,,,266,492,,76,77
8188676,08/03/2006,1,NO,0.3,,,77,,
8191194,08/30/2006,1,NO,0.3,,,77,,
28451921,05/25/2007,0.6,NO,0.2,,245,84,71,
7000097,07/25/2007,1.1,NO,0.3,56.4,419,76,75,65
10589249,08/21/2007,1,NO,0.3,117,223,77,70,71
7000097,05/05/2008,2,,0.6,,,67,,
7000097,07/16/2008,1.5,NO,0.5,45.5,335,71,73,64
17824623,08/13/2008,1.8,NO,0.5,41.3,,69,,63
7000097,09/19/2008,1.5,,0.5,131,291,71,72,72
7000097,07/22/2009,1,,0.3,152,379,77,74,73
7000097,08/24/2009,1,,0.3,292,445,77,75,78
7000097,10/01/2009,0.9,NO,0.3,158,457,79,76,73
7000097,07/26/2010,1.5,,0.5,105,287,71,72,70
17824623,07/19/2011,,,,246,378,,74,76
47824287,07/19/2011,1.3,NO,0.4,,,73,,
17824623,08/09/2011,,,,270,739,,79,77
47824287,08/09/2011,0.8,NO,0.25,,,80,,
17824623,09/09/2011,,,,37.7,426,,75,62
47824287,09/09/2011,1.6,NO,0.5,,,70,,
48061369,04/30/2013,2.7,N,0.8,,72.4,63,61,
62803480,07/16/2013,,,,244,353,,74,76
82788363,07/16/2013,2,YES,0.6,,,67,,
62803480,08/08/2013,2.5,NO,0.8,61,305,64,72,66
82788363,08/27/2013,1.08,NO,0.3,200,384,76,74,75
99385750,05/28/2014,,,,,73.2,,61,
99674730,05/28/2014,,NO,,,,,,
99385750,07/23/2014,,NO,,67.9,228,,70,67
99385750,08/18/2014,,,,69.5,376,,74,67
99674730,08/18/2014,1.75,NO,0.5,,,69,,
99385750,09/26/2014,1,NO,0.3,105,372,77,74,70
99385750,05/28/2015,4,NO,1.2,,169,57,68,
99385750,07/07/2015,,,,269,7.82,,44,77
99674730,07/07/2015,1.3,NO,0.4,,,73,,
89214715,07/08/2015,,,,164,252,,71,73
99385750,08/06/2015,,,,60.2,316,,73,66
99674730,08/06/2015,0.82,NO,0.2,,,80,,
81193662,09/09/2015,,,,4.48,368,,74,46
99567185,09/09/2015,4.10105,NO,1.2,,,57,,
81193662,06/03/2016,,,,,168,,68,
129241713,06/03/2016,2.8,NO,0.9,,,62,,
81193662,07/26/2016,,,,51.3,336,,73,65
131162509,07/27/2016,0.8,NO,0.2,,,80,,
81193662,08/10/2016,,,,217,414,,75,75
131294650,08/10/2016,0.9,NO,0.3,,,79,,
129241713,08/24/2016,0.75,NO,0.2,376,605,81,78,80
145143798,06/07/2017,3.83,NO,1.2,,,58,,
145143798,07/17/2017,2,NO,0.6,71.6,238,67,71,67
145143798,07/31/2017,,,,151,289,,72,73
