Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
8190944,08/16/1987,4.5,NO,1.4,,,55,,
8190944,08/22/1987,4.5,NO,1.4,,,55,,
8190944,09/07/1987,5,NO,1.5,,,54,,
8190944,09/26/1987,5.25,NO,1.6,,,53,,
8190944,09/29/1987,5.5,NO,1.7,,,53,,
8190944,10/03/1987,5.5,NO,1.7,,,53,,
8190519,05/18/1988,14,NO,4.3,,,39,,
8190519,05/25/1988,15.5,NO,4.7,,,38,,
8190519,06/01/1988,14.5,NO,4.4,,,39,,
8190519,06/08/1988,11,NO,3.3,,,43,,
8190519,06/21/1988,10,NO,3,,,44,,
8190519,06/29/1988,8.5,NO,2.6,,,46,,
8190519,07/06/1988,11.5,NO,3.5,,,42,,
8190519,07/13/1988,9.5,NO,2.9,,,45,,
8190519,07/20/1988,7.5,NO,2.3,,,48,,
8190519,07/27/1988,7.5,NO,2.3,,,48,,
8190519,08/11/1988,4,NO,1.2,,,57,,
8190519,08/17/1988,5,NO,1.5,,,54,,
8190519,08/29/1988,4,NO,1.2,,,57,,
8190519,09/05/1988,5,NO,1.5,,,54,,
8190519,09/13/1988,5,NO,1.5,,,54,,
8190519,09/21/1988,5,NO,1.5,,,54,,
8190519,05/07/1989,4,NO,1.2,,,57,,
8190519,05/21/1989,23,NO,7,,,32,,
8190519,05/30/1989,18,NO,5.5,,,35,,
8190519,06/12/1989,19.75,NO,6,,,34,,
8190519,06/22/1989,18.5,NO,5.6,,,35,,
8190519,06/30/1989,14.25,NO,4.3,,,39,,
8190519,07/04/1989,11.5,NO,3.5,,,42,,
8190519,07/07/1989,16.5,NO,5,,,37,,
8190519,07/15/1989,16,NO,4.9,,,37,,
8190519,07/26/1989,16,NO,4.9,,,37,,
8190519,08/14/1989,9,NO,2.7,,,45,,
