Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
1,07/17/1973,,,,,200,,69,
1,10/29/1973,,,,,100,,64,
1,03/11/1974,,,,,130,,66,
1,05/02/1974,,,,,60,,60,
1,07/18/1974,,,,,170,,68,
1,10/09/1974,,,,,150,,67,
1,03/27/1994,,,,,,,,
1,05/03/1994,1,,0.3,21.7,55,77,59,58
1,06/30/1994,3.3,,1,17.6,,60,,56
1,08/30/1994,3.3,,1,34.3,78,60,62,62
1,10/13/1994,3.6,,1.1,1.54,81,59,62,38
23147995,05/08/2009,3,NO,0.9,,,61,,
23147995,06/13/2009,4,NO,1.2,,,57,,
23147995,07/24/2009,2,NO,0.6,,,67,,
23147995,08/23/2009,2,NO,0.6,,,67,,
23147995,05/09/2011,4,NO,1.2,,,57,,
23147995,06/10/2011,4,NO,1.2,,,57,,
23147995,07/17/2011,2.5,NO,0.8,,,64,,
23147995,08/16/2011,2.5,NO,0.8,,,64,,
128616131,04/30/2016,3,NO,0.9,,,61,,
128616131,06/24/2016,3,YES,0.9,,,61,,
128616131,07/29/2016,2,NO,0.6,,,67,,
128616131,08/26/2016,3,NO,0.9,,,61,,
128616131,04/21/2017,3,NO,0.9,,,61,,
128616131,04/27/2017,3,YES,0.9,,,61,,
36798397,06/25/2017,2.5,NO,0.8,,,64,,
130993236,07/23/2017,2,NO,0.6,,,67,,
36798397,08/29/2017,2.5,YES,0.8,,,64,,
