Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI
34939021,05/08/2010,7.75,NO,2.4,,31,48,55,
1,05/24/2010,6.5,NO,2,,,50,,
34939021,06/22/2010,5,NO,1.5,10.6,25,54,53,53
1,07/08/2010,8,NO,2.4,,,47,,
34939021,07/20/2010,6,NO,1.8,14.1,38,51,56,55
1,08/03/2010,5,NO,1.5,,,54,,
34939021,08/24/2010,3,NO,0.9,40.7,49,61,58,63
1,09/13/2010,3,NO,0.9,,,61,,
1,10/14/2010,5.5,NO,1.7,,,53,,
34939021,10/14/2010,,,,44,67,,61,63
34939021,05/10/2011,6,NO,1.8,,42,51,57,
34939021,06/14/2011,7.7,NO,2.3,4.16,37,48,56,46
34939021,07/12/2011,5.5,NO,1.7,16.3,38,53,56,56
34939021,08/16/2011,3,NO,0.9,38.3,72,61,61,62
34939021,10/12/2011,4,NO,1.2,25.2,64,57,60,59
34939021,04/30/2012,8,NO,2.4,,37,47,56,
34939021,06/12/2012,6,NO,1.8,11.6,60,51,60,53
34939021,07/09/2012,3,NO,0.9,50.2,70,61,61,64
34939021,08/20/2012,3,NO,0.9,47.1,83,61,62,64
34939021,09/18/2012,3,NO,0.9,,,61,,
34939021,10/03/2012,,,,26.9,56,,59,60
34939021,05/14/2013,5,NO,1.5,,43.1,54,57,
34939021,06/11/2013,,NO,,29.6,53.7,,59,60
34939021,07/16/2013,,NO,,17.3,42.9,,57,56
34939021,08/19/2013,4,NO,1.2,17.5,35.7,57,56,56
34939021,10/09/2013,4.5,NO,1.4,35.5,56.6,55,59,62
34939021,05/06/2014,,NO,,,49.9,,58,
34939021,06/26/2014,6.5,NO,2,9.14,31.2,50,55,52
137687851,06/28/2016,,,,17.1,42.7,,57,56
137687851,07/19/2016,,,,22.8,87.5,,63,58
137687851,08/08/2016,,,,53.8,67.7,,61,65
